trip_id,start_time,end_time,start_station,end_station,user_type,distance_km,bike_type,temperature_c,rain_mm,trip_duration_min,day,day_type,month
1,2024-10-29 22:00:00,2024-10-29 22:10:24,Richmond,Carlton,Subscriber,2.14,Standard,13.8,0.6,10.4,Tuesday,Weekday,10
2,2024-02-05 20:00:00,2024-02-05 20:02:30,Richmond,Southbank,Subscriber,0.87,Electric,15.0,3.7,2.5,Monday,Weekday,2
3,2024-08-12 14:00:00,2024-08-12 14:06:54,St Kilda,Carlton,Subscriber,2.5,Electric,21.9,2.8,6.9,Monday,Weekday,8
4,2024-08-04 07:00:00,2024-08-04 07:07:12,Docklands,CBD Central,Subscriber,2.7,Electric,16.4,4.4,7.2,Sunday,Weekend,8
5,2024-08-26 22:00:00,2024-08-26 22:02:48,Richmond,Southbank,Subscriber,1.09,Electric,21.4,4.8,2.8,Monday,Weekday,8
6,2024-09-18 01:00:00,2024-09-18 01:19:00,Southbank,CBD Central,Casual,5.45,Standard,16.7,1.9,19.0,Wednesday,Weekday,9
7,2024-01-20 10:00:00,2024-01-20 10:13:48,Carlton,Docklands,Subscriber,3.68,Standard,7.2,2.7,13.8,Saturday,Weekend,1
8,2024-07-03 10:00:00,2024-07-03 10:02:42,Richmond,Carlton,Subscriber,0.96,Electric,11.7,3.1,2.7,Wednesday,Weekday,7
9,2024-08-20 10:00:00,2024-08-20 10:11:30,Richmond,Docklands,Subscriber,3.54,Electric,8.4,3.9,11.5,Tuesday,Weekday,8
10,2024-12-12 18:00:00,2024-12-12 18:04:54,Docklands,Southbank,Subscriber,1.98,Electric,19.2,2.9,4.9,Thursday,Weekday,12
11,2024-03-11 05:00:00,2024-03-11 05:09:24,St Kilda,CBD Central,Casual,2.46,Electric,7.8,2.0,9.4,Monday,Weekday,3
12,2024-02-02 01:00:00,2024-02-02 01:17:00,Richmond,Southbank,Subscriber,3.02,Standard,15.0,0.4,17.0,Friday,Weekday,2
13,2024-10-16 13:00:00,2024-10-16 13:23:12,Fitzroy,Docklands,Subscriber,7.3,Standard,15.8,2.3,23.2,Wednesday,Weekday,10
14,2024-04-11 09:00:00,2024-04-11 09:07:54,CBD Central,Southbank,Subscriber,2.02,Electric,16.5,4.2,7.9,Thursday,Weekday,4
15,2024-08-09 07:00:00,2024-08-09 07:15:42,Southbank,St Kilda,Casual,3.95,Standard,23.3,0.3,15.7,Friday,Weekday,8
16,2024-07-29 11:00:00,2024-07-29 11:05:36,Fitzroy,Fitzroy,Subscriber,1.71,Electric,24.3,0.8,5.6,Monday,Weekday,7
17,2024-09-24 12:00:00,2024-09-24 12:13:18,St Kilda,Docklands,Casual,5.29,Electric,13.5,3.3,13.3,Tuesday,Weekday,9
18,2024-02-19 08:00:00,2024-02-19 08:17:18,Carlton,Southbank,Subscriber,4.04,Standard,17.9,1.5,17.3,Monday,Weekday,2
19,2024-07-08 19:00:00,2024-07-08 19:10:06,CBD Central,CBD Central,Subscriber,2.64,Electric,15.5,0.8,10.1,Monday,Weekday,7
20,2024-05-21 01:00:00,2024-05-21 01:16:54,Fitzroy,Southbank,Subscriber,6.6,Electric,20.5,1.9,16.9,Tuesday,Weekday,5
21,2024-09-23 12:00:00,2024-09-23 12:28:18,CBD Central,CBD Central,Subscriber,11.06,Electric,17.5,0.8,28.3,Monday,Weekday,9
22,2024-12-27 02:00:00,2024-12-27 02:11:42,Southbank,Fitzroy,Subscriber,2.64,Standard,20.7,1.7,11.7,Friday,Weekday,12
23,2024-04-16 14:00:00,2024-04-16 14:11:42,St Kilda,Southbank,Subscriber,4.02,Electric,11.2,3.1,11.7,Tuesday,Weekday,4
24,2024-11-23 01:00:00,2024-11-23 01:11:30,Richmond,Richmond,Subscriber,3.1,Standard,19.4,1.3,11.5,Saturday,Weekend,11
25,2024-03-26 07:00:00,2024-03-26 07:41:48,Carlton,Richmond,Subscriber,16.74,Electric,9.6,1.5,41.8,Tuesday,Weekday,3
26,2024-04-24 11:00:00,2024-04-24 11:07:42,St Kilda,Fitzroy,Subscriber,2.68,Electric,13.3,1.1,7.7,Wednesday,Weekday,4
27,2024-01-08 21:00:00,2024-01-08 21:06:30,CBD Central,Docklands,Subscriber,1.88,Standard,18.6,3.6,6.5,Monday,Weekday,1
28,2024-04-23 22:00:00,2024-04-23 22:05:30,Fitzroy,CBD Central,Casual,2.05,Standard,6.3,7.5,5.5,Tuesday,Weekday,4
29,2024-05-05 05:00:00,2024-05-05 05:16:00,Southbank,Richmond,Subscriber,6.66,Standard,4.9,4.1,16.0,Sunday,Weekend,5
30,2024-07-13 02:00:00,2024-07-13 02:20:30,Southbank,St Kilda,Subscriber,5.7,Electric,11.1,3.9,20.5,Saturday,Weekend,7
31,2024-03-20 03:00:00,2024-03-20 03:20:48,St Kilda,Docklands,Subscriber,5.4,Standard,12.4,2.2,20.8,Wednesday,Weekday,3
32,2024-11-18 06:00:00,2024-11-18 06:18:12,Richmond,CBD Central,Casual,5.78,Electric,13.0,0.6,18.2,Monday,Weekday,11
33,2024-02-22 19:00:00,2024-02-22 19:17:06,Fitzroy,Fitzroy,Casual,5.78,Standard,14.9,0.2,17.1,Thursday,Weekday,2
34,2024-03-04 16:00:00,2024-03-04 16:11:24,Richmond,Richmond,Subscriber,3.91,Electric,19.8,2.8,11.4,Monday,Weekday,3
35,2024-05-28 04:00:00,2024-05-28 04:13:48,Richmond,Carlton,Subscriber,3.93,Electric,29.8,3.3,13.8,Tuesday,Weekday,5
36,2024-06-11 02:00:00,2024-06-11 02:08:00,Fitzroy,Southbank,Casual,2.0,Electric,14.2,0.4,8.0,Tuesday,Weekday,6
37,2024-08-12 17:00:00,2024-08-12 17:06:54,CBD Central,Fitzroy,Casual,2.55,Electric,20.3,2.4,6.9,Monday,Weekday,8
38,2024-12-17 09:00:00,2024-12-17 09:14:30,St Kilda,CBD Central,Casual,5.89,Standard,25.5,1.7,14.5,Tuesday,Weekday,12
39,2024-11-09 01:00:00,2024-11-09 01:04:00,St Kilda,CBD Central,Casual,1.53,Electric,24.4,2.5,4.0,Saturday,Weekend,11
40,2024-04-18 20:00:00,2024-04-18 20:09:42,Docklands,CBD Central,Casual,3.27,Electric,13.3,2.2,9.7,Thursday,Weekday,4
41,2024-10-20 09:00:00,2024-10-20 09:08:18,St Kilda,CBD Central,Casual,2.13,Electric,23.2,2.3,8.3,Sunday,Weekend,10
42,2024-09-16 19:00:00,2024-09-16 19:04:12,Southbank,Southbank,Subscriber,1.35,Electric,25.7,2.4,4.2,Monday,Weekday,9
43,2024-08-16 14:00:00,2024-08-16 14:55:24,CBD Central,Docklands,Subscriber,10.64,Electric,27.2,5.1,55.4,Friday,Weekday,8
44,2024-10-22 19:00:00,2024-10-22 19:14:30,Fitzroy,St Kilda,Subscriber,4.35,Electric,27.4,4.3,14.5,Tuesday,Weekday,10
45,2024-02-02 07:00:00,2024-02-02 07:04:54,St Kilda,Carlton,Casual,1.76,Electric,11.4,1.5,4.9,Friday,Weekday,2
46,2024-12-08 18:00:00,2024-12-08 18:56:36,CBD Central,Southbank,Casual,12.98,Standard,19.4,0.9,56.6,Sunday,Weekend,12
47,2024-05-11 08:00:00,2024-05-11 08:03:54,St Kilda,CBD Central,Subscriber,1.13,Electric,13.9,2.6,3.9,Saturday,Weekend,5
48,2024-03-07 01:00:00,2024-03-07 02:00:12,Fitzroy,Southbank,Subscriber,11.13,Electric,10.2,1.4,60.2,Thursday,Weekday,3
49,2024-06-13 07:00:00,2024-06-13 07:09:54,Carlton,Fitzroy,Subscriber,3.74,Electric,20.9,4.9,9.9,Thursday,Weekday,6
50,2024-11-10 19:00:00,2024-11-10 19:07:00,Fitzroy,St Kilda,Subscriber,1.79,Electric,19.2,1.2,7.0,Sunday,Weekend,11
51,2024-05-08 01:00:00,2024-05-08 01:03:24,Fitzroy,CBD Central,Subscriber,1.06,Electric,19.0,0.3,3.4,Wednesday,Weekday,5
52,2024-02-12 13:00:00,2024-02-12 13:20:36,Fitzroy,Carlton,Subscriber,5.39,Standard,15.2,2.7,20.6,Monday,Weekday,2
53,2024-06-09 03:00:00,2024-06-09 03:25:36,St Kilda,CBD Central,Casual,8.1,Electric,32.7,0.6,25.6,Sunday,Weekend,6
54,2024-11-28 21:00:00,2024-11-28 21:02:36,Docklands,St Kilda,Subscriber,0.9,Electric,27.1,0.9,2.6,Thursday,Weekday,11
55,2024-10-13 09:00:00,2024-10-13 09:02:00,Fitzroy,Carlton,Subscriber,0.49,Standard,15.5,0.1,2.0,Sunday,Weekend,10
56,2024-08-24 11:00:00,2024-08-24 11:13:30,Southbank,St Kilda,Subscriber,4.0,Electric,17.9,2.8,13.5,Saturday,Weekend,8
57,2024-01-07 17:00:00,2024-01-07 17:07:06,Southbank,Carlton,Subscriber,2.59,Standard,21.0,2.1,7.1,Sunday,Weekend,1
58,2024-06-28 01:00:00,2024-06-28 01:11:00,CBD Central,Docklands,Casual,3.73,Standard,24.2,3.6,11.0,Friday,Weekday,6
59,2024-02-11 11:00:00,2024-02-11 11:11:42,Docklands,Richmond,Subscriber,2.12,Electric,20.9,1.8,11.7,Sunday,Weekend,2
60,2024-11-13 21:00:00,2024-11-13 21:09:06,CBD Central,Docklands,Subscriber,2.8,Electric,18.7,0.9,9.1,Wednesday,Weekday,11
61,2024-02-12 08:00:00,2024-02-12 08:33:12,Southbank,Southbank,Subscriber,8.65,Electric,9.5,0.5,33.2,Monday,Weekday,2
62,2024-11-23 21:00:00,2024-11-23 21:10:54,Richmond,Southbank,Subscriber,3.76,Electric,29.8,3.7,10.9,Saturday,Weekend,11
63,2024-09-25 07:00:00,2024-09-25 07:38:54,Southbank,Carlton,Subscriber,6.65,Electric,14.2,1.4,38.9,Wednesday,Weekday,9
64,2024-11-24 20:00:00,2024-11-24 20:05:00,Carlton,CBD Central,Subscriber,1.25,Electric,24.4,0.2,5.0,Sunday,Weekend,11
65,2024-10-12 23:00:00,2024-10-12 23:06:12,Fitzroy,Richmond,Subscriber,1.17,Standard,18.2,4.3,6.2,Saturday,Weekend,10
66,2024-11-25 20:00:00,2024-11-25 20:22:06,Richmond,Fitzroy,Subscriber,8.76,Electric,25.5,2.6,22.1,Monday,Weekday,11
67,2024-12-21 09:00:00,2024-12-21 09:04:18,Southbank,Fitzroy,Subscriber,1.65,Electric,10.2,3.7,4.3,Saturday,Weekend,12
